dataset,backbone_params,pair_residual_params,mflops_per_pixel,scene_tflops_single,scene_tflops_dual,peak_vram_gb_steady,peak_vram_gb_coldstart,inference_batch,t_reference_s,t_candidate_s,t_region_commit_s,t_pair_s,region_commit_pct_of_one_pass,pair_pct_of_one_pass
gf3,2949284,6150,90.961,360.64,721.29,0.38,0.64,512,3409.7,3351.81,4.23,57.09,0.124,1.67
flevoland,2958518,15375,90.97,18.81,37.62,0.38,0.64,512,190.96,184.41,0.21,10.22,0.11,5.35
